X,Y,SRTM_UTM_z,
543580,6499700,1130.00000
543500,6499800,1131.00000
543430,6499800,1132.00000
543350,6499900,1134.00000
543280,6499900,1135.00000
543200,6500000,1137.00000
543130,6500000,1140.00000
543050,6500100,1142.00000
542980,6500100,1144.00000
542900,6500200,1148.00000
542830,6500200,1150.00000
542750,6500300,1152.00000
542680,6500400,1154.00000
542600,6500400,1157.00000
542530,6500500,1160.00000
542450,6500600,1162.00000
542380,6500600,1165.00000
542300,6500700,1167.00000
542230,6500800,1170.00000
542170,6500900,1173.00000
542110,6500900,1173.00000
542050,6501000,1175.00000
541990,6501100,1178.00000
541940,6501200,1181.00000
541890,6501200,1181.00000
541840,6501300,1184.00000
541800,6501400,1185.00000
541760,6501500,1188.00000
541720,6501500,1187.00000
541680,6501600,1191.00000
541640,6501700,1192.00000
541610,6501800,1195.00000
541570,6501800,1193.00000
541540,6501900,1196.00000
541510,6502000,1200.00000
541490,6502100,1201.00000
541460,6502100,1201.00000
541430,6502200,1204.00000
541410,6502300,1205.00000
541380,6502400,1208.00000
541360,6502400,1208.00000
541340,6502500,1210.00000
541310,6502600,1212.00000
541290,6502700,1215.00000
541270,6502700,1215.00000
541250,6502800,1216.00000
541220,6502900,1218.00000
541200,6503000,1222.00000
541180,6503000,1222.00000
541160,6503100,1223.00000
541140,6503200,1224.00000
541120,6503300,1226.00000
541100,6503300,1227.00000
541080,6503400,1229.00000
541060,6503500,1231.00000
541040,6503600,1232.00000
541020,6503600,1232.00000
541010,6503700,1234.00000
540990,6503800,1235.00000
540970,6503900,1236.00000
540950,6503900,1236.00000
540930,6504000,1238.00000
540910,6504100,1240.00000
540900,6504200,1242.00000
540880,6504200,1242.00000
540860,6504300,1243.00000
540850,6504400,1244.00000
540850,6504500,1247.00000
540840,6504500,1247.00000
540840,6504600,1248.00000
540840,6504700,1249.00000
540840,6504800,1250.00000
540850,6504800,1250.00000
540860,6504900,1251.00000
540870,6505000,1253.00000
540890,6505100,1253.00000
540920,6505100,1254.00000
540960,6505200,1253.00000
541010,6505300,1254.00000
541070,6505400,1257.00000
541140,6505400,1258.00000
541220,6505500,1260.00000
541290,6505600,1261.00000
541370,6505600,1262.00000
541440,6505700,1264.00000
541520,6505800,1266.00000
541590,6505800,1266.00000
541670,6505900,1268.00000
541740,6505900,1271.00000
541820,6506000,1274.00000
541890,6506000,1275.00000
541970,6506100,1278.00000
542040,6506100,1279.00000
542120,6506200,1283.00000
542190,6506200,1286.00000
542270,6506300,1290.00000
542340,6506300,1292.00000
542420,6506400,1298.00000
542490,6506400,1300.00000
542570,6506500,1307.00000
542640,6506500,1308.00000
542720,6506600,1314.00000
542790,6506600,1315.00000
542870,6506700,1321.00000
542940,6506700,1321.00000
543020,6506800,1329.00000
543090,6506800,1329.00000
543170,6506900,1335.00000
543240,6507000,1340.00000
543320,6507000,1341.00000
543390,6507100,1344.00000
543470,6507200,1347.00000
543540,6507200,1346.00000
543620,6507300,1349.00000
543680,6507400,1350.00000
543740,6507500,1354.00000
543800,6507500,1352.00000
543860,6507600,1354.00000
543930,6507700,1356.00000
543990,6507800,1358.00000
544060,6507800,1358.00000
544140,6507900,1360.00000
544210,6508000,1364.00000
544280,6508100,1365.00000
544350,6508100,1367.00000
544430,6508200,1372.00000
544500,6508300,1373.00000
544580,6508400,1377.00000
544650,6508400,1381.00000
544730,6508500,1385.00000
544800,6508600,1388.00000
544870,6508700,1391.00000
544940,6508700,1393.00000
545020,6508800,1397.00000
545090,6508900,1401.00000
545170,6509000,1404.00000
545240,6509000,1406.00000
545320,6509100,1408.00000
545390,6509100,1411.00000
545470,6509200,1413.00000
545540,6509200,1415.00000
545620,6509300,1416.00000
545690,6509300,1417.00000
545770,6509400,1421.00000
545840,6509400,1422.00000
545920,6509500,1423.00000
545990,6509600,1426.00000
546070,6509700,1429.00000
546140,6509700,1429.00000
546220,6509800,1432.00000
546290,6509900,1436.00000
546370,6509900,1437.00000
546440,6510000,1439.00000
546520,6510100,1441.00000
546590,6510100,1443.00000
